Name,Net weight,Price
"Lee Kum Kee Panda Oyster Sauce | 500g","500",179.5
"LEE KUM KEE CHIU CHOW CHILI OIL 205G","205",259.5
"Lee Kum Kee Chili Garlic Sauce | 226g","226",171
"Jufran Sriracha Tomato Ketchup | 285g","285",48
"DEL MONTE SWEET CHILI SAUCE 330G","330",50
"Lady's Choice Dressing Thousand Island | 1L","1",417.5
"Lady's Choice Dressing Caesar | 1L","1",417.5
"KEWPIE JAPANESE ROASTED SESAME DRESSING 210ML","210",152.5
"Kewpie Caesar Dressing | 210ml","210",162.5
"Del Monte Peach Halves | 825g","825",168.5
"Del Monte Fruit Cocktail In Heavy Syrup | 825g","825",184
"Buenas Nata De Coco White | 360g","360",56.5
"Buenas Kaong White | 360g","360",83.5
"White King Fiesta Salad Macaroni | 1kg","1",87
"San Remo Spaghetti | 500g","500",91.5
"San Remo Pasta Special Penne | 500g","500",94.5
"San Remo Linguine | 500g","500",91.5
"San Remo Fettuccine | 500g","500",89.5
"Ideal Gourmet Linguine | 1kg","1",126.5
"Jolly Claro Palm Oil Pet | 1L","1",137.5
"Bimoli Oil Vegetable Pet |1L","1",131.5
"Lee Kum Kee Sesame Oil | 207mL","207",179.5
"Filippo Berio Olive Oil | 250mL","250",266.5
"Filippo Berio Olive Oil Extra Virgin | 250mL","250",296.5
"DONA ELENA OLIVE OIL EXTRA VIRGIN 500ML","500",577.5
"Dona Elena Olive Oil Extra Virgin | 250mL","250",303.5
"Dona Elena Olive Oil Pure | 500mL","500",529.5
"Capri Extra Virgin Olive Oil | 250ml","250",231.5
"Capri Olive Oil | 250ml","250",212.5
"Baguio Vegetable Oil | 1L Bottle","1",234.5
"Marca Leon Canola Oil Pouch | 1.8L","1.8",273.5
"Jolly Canola Oil Pouch | 2L","2",274.5
"GOODLIFE PREMIUM VERMICELLI 250G","250",79.5
"Nongshim Shim Ramyum Spicy Mushroom Big Bowl | 114g","114",82.5
"Nongshim Shin Ramyun Black Cup E | 101g","101",126.5
"Nongshim Shin Ramyun | 68g Cup","68",73.5
"Samyang Fire Noodle Carbonara | 140g","140",109.5
"Samyang Fire Chicken Ramen 2X Spicy | 140g","140",99.5
"Samyang Chicken Ramen with Cheese | 140g","140",104.5
"Quickchow Pancit Canton Classic | 65g","65",10.75
"Ottogi Jin Ramen Hot | 120g Pouch","120",52
"Nongshim Shin Ramyun Shrimp | 120g Pouch","120",52.5
"Nongshim Shin Ramyun | 120g Pouch","120",65.5
"Nongshim Shin Ramyun Gourmet Spicy Noodle Soup | 120g 5pcs","120",317.5
"Nongshim Shin Ramyun Black | 130g Pouch","130",134.5
"Nongshim Clay Pot Ramyum | 120g Pouch","120",52.5
"Nongshim Beef Bulgogi Fried Noodle | 103g Pouch","103",58.5
"Purefoods Star Corn Beef | 260g","260",57.5
"Highlands Corned Beef | 180g","180",68.75
"Deli Mondo Garlic & Chili Corned Beef | 380g","380",183.25
"California Whole Grain Rice | 5kg","5",328
"Harvester's Rice Thai Jasmine | 5kg","5",583
"Harvester's Rice Delicious Sinandomeng | 5kg","5",302
"Harvester's Rice Delicious Sinandomeng | 10kg","10",569
"Harvester's Natural Aromatic Semi-Sticky Rice Special Dinorado | 5kg","5",403
"Harvester's Natural Aromatic Semi-Sticky Rice Special Dinorado | 10kg","10",765
"Farmboy Dinorado Rice | 5kg","5",364
"Dona Maria Jasponica Premium Quality Rice | 5kg","5",576
"Dona Maria Jasponica Rice | 10kg","10",1070
"MCCORMICK GARLIC POWDER 36G","36",82.5
"McCormick Black Pepper Ground | 36g","36",80.5
"MCCORMICK THYME LEAVES 14G","14",72.5
"MCCORMICK SPANISH PAPRIKA 34G","34",85
"MCCORMICK WHOLE ROSEMARY LEAVES 11G","11",64.5
"MCCORMICK RED CAYENNE PEPPER 26G","26",70.5
"MCCORMICK WHOLE OREGANO LEAVES 10G","10",77.5
"MCCORMICK MINCED GARLIC 44G","44",122.5
"MCCORMICK GROUND CINNAMON 30G","30",73.5
"MCCORMICK CHILI POWDER 35G","35",95.5
"MCCORMICK GROUND NUTMEG 37G","37",155.5
"Mama Sita Annato Powder | 10g","10",24.5
"MCCORMICK IODIZED SALT 500G","500",28.25
"McCormick Iodized Salt | 500g","500",50
"McCormick Carbonara Pasta Mix | 35g","35",34.5
"McCormick Curry Mix | 40g","40",40.5
"Mama Sita Tocino Mix | 75g","75",39.5
"Knorr Powder Chicken | 1kg","1",559.5
"McCormick Seasoning Mix Chicken Gravy | 28g","28",29.5
"Purefoods Corned Beef Salpicao | 210g","210",128
"Indomie Mi Goreng Fried Noodles | 85g","85",24
"Indomie Mi Goreng Fried Noodles Pedas | 80g","80",24
"SM Bonus Peanut Butter | 450g","450",109.5
"SM Bonus Peanut Butter | 224g","224",68.5
"Mega Corned Sardines In Tomato Sauce | 155g","155",16.75
"SM Bonus Real Mayo | 470mL","470",139.5
"Knorr Cubes Shrimp | 30g","30",19.5
"Jolly Prito King Vegetable Oil Sup | 900ml","900",99.5
"Cems Honey Prime | 1000g","1000",439.5
"Cems Honey Superior Unfiltered | 1000g","1000",439.5
"Ram Dessicated Coconut | 200g","200",71.5
"White King Classic Hotcake Mix | 400g","400",66.5
"Silver Swan Suka Sup | 1L","1",39.5
