Category,Name,Net weight,Price
"Chilled","Lactum 1+ Vanilla | 1.15kg","1.15",862.5
"Chilled","Enfagrow Four A+ Powdered Milk Drink Above 3 years old | 1.8kg","1.8",2020
"Chilled","Enfagrow Three A+ Formula Milk 1-3 years old | 1.8kg","1.8",2419.5
"Chilled","Enfagrow A+ Three | 1.15kg","1.15",1729.5
"Chilled","Bonakid Pre School 3+ Powdered Milk Drink | 1.6kg","1.6",966.5
"Chilled","Bonakid Growing Up Milk Supplement 1-3 years old | 1.6kg","1.6",989.5
"Chilled","Bonakid Growing Up Milk Supplement 1-3 years old | 2kg","2",1149.5
"Chilled","Nido Fortigrow For School Age Children | 1.6kg","1.6",832.5
"Chilled","Nido Fortigrow For School Age Children | 700g","700",389.5
"Chilled","Birch Tree Full Cream Milk | 700g","700",354.5
"Chilled","Birch Tree Full Cream Milk | 300g","300",144.25
"Chilled","S26 Two Milk Supplement | 1.8kg","1.8",2419.5
"Chilled","S26 Gold Two Milk Supplement | 1.8kg","1.8",3074.5
"Chilled","Nestogen 2 Infant Formula Milk 6-12 months | 1.4kg","1.4",744.5
"Chilled","Nan Optipro Two Milk Supplement For 6-12Months | 1.3kg","1.3",2069.5
"Chilled","Lactum Milk Supplement Powder 6-12 months | 2kg","2",1339.5
"Chilled","Enfamil Two A+ Infant Formula Milk 6-12 months | 1.8kg","1.8",3004.5
"Chilled","Bonamil Follow On Milk Supplement 6-12 months | 1.2kg","1.2",796.5
"Chilled","S26 One Infant Formula Milk | 1.8kg","1.8",2559.5
"Chilled","S26 Gold One Infant Formula Milk | 1.8kg","1.8",3187.5
"Chilled","Nan Infinipro HW One Infant Formula 0-6 months | 1.4kg","1.4",2824.5
"Chilled","Nan Optipro One Infant Formula For 0-6Months | 1.3kg","1.3",2229.5
"Chilled","Lactum Infant Milk | 1.15kg","1.15",869.5
"Chilled","Enfamil A+ One | 1.725kg","1.725",3119.5
"Chilled","Bonna Infant Formula Milk 0-6 months | 1.2kg","1.2",841.5
"Chilled","Bonna Infant Formula Milk 0-6 months | 2kg","2",1267.5
"Chilled","Bear Brand Fortified Choco | 900g","900",299.5
"Chilled","Bear Brand Fortified Powdered Milk Drink Choco | 300g","300",109.5
"Chilled","Bear Brand Fortified with Iron | 1.6kg","1.6",534.5
"Chilled","Bear Brand Fortified | 900g","900",299.5
"Chilled","Anchor Family Milk | 300g","300",124.5
"Chilled","Anchor Family Milk | 900g","900",361.5
"Chilled","Anchor Family Milk | 655g","655",269.5
"Chilled","Alaska Fortified Chocolate Powdered Milk Drink | 300g","300",112.5
