Category,Name,Net weight,Price
"Bakery","Lemon Square Inipit Ube Macapuno | 21g 10pcs","21",59.95
"Bakery","Mr Hat Gulaman Green Tea | 25g","25",15.5
"Bakery","Mr Hat Gulaman White | 25g","25",15.5
"Bakery","White King Classic Puto | 400g","400",94.5
"Bakery","White King Brownies Crinkles Mix | 500g","500",124.5
"Bakery","White King All Purpose Flour | 400g","400",51.5
"Bakery","White King All Purpose Flour | 800g","800",98.5
"Bakery","Peotraco Pure Glycerin | 100ml","100",72.5
"Bakery","Peotraco Glucose | 750g","750",103
"Bakery","Peotraco Rice Flour | 500g","500",72.5
"Bakery","Peotraco Glutinous Rice Flour | 500g","500",79.5
"Bakery","M.Y. San Crushed Graham | 200g","200",54.5
"Bakery","Maya Cake Flour | 1kg","1",134.5
"Bakery","Maya Quick Easy Pancake | 200g","200",44.5
"Bakery","Maya All-Purpose Flour | 800g","800",94.5
"Bakery","Maya All Purpose Flour | 4kg","4",455
"Bakery","Magnolia Fudge Brownie Mix | 500g","500",146.5
"Bakery","Magnolia Devils Food Cake | 550g","550",206.5
"Bakery","Magnolia Pancake Plus With Chocolate Syrup | 200g","200",42.5
"Bakery","Magnolia Pancake & Waffle Mix | 180g","180",33.5
"Bakery","Magnolia Pancake Plus With Maple Syrup | 200g","200",42.5
"Bakery","Magnolia Pancake Plus With Maple Syrup | 480g","480",92.5
"Bakery","Magnolia Pancake and Waffle Mix | 400g","400",66.5
"Bakery","McCormick Buco Pandan Extract | 20ml","20",72.5
"Bakery","Peotraco Sugar Caster | 500g","500",82.5
"Bakery","Peotraco High Fructose Corn Syrup | 500ml","500",79.5
"Bakery","Peotraco Confectioners Powdered Sugar | 2272g","2272",339.5
"Bakery","Peotraco Premium Confectioners Sugar | 450g","450",82.5
"Bakery","Peotraco Regular Confectioners Sugar | 450g","450",77.5
"Bakery","Goya Cocoa Powder Unsweetened | 180g","180",184.5
"Bakery","Goya Easy Melt Cream White Chocolate Buttons | 180g","180",109.5
"Bakery","Goya Easy Melt Chocolate Buttons | 180g","180",109.5
"Bakery","Goya Easy Melt Dark Chocolate Buttons | 180g","180",109.5
"Bakery","Goya Chocolate Syrup | 350ml","350",144.5
"Bakery","Ferna Unflavored Gelatine | 50g","50",79.5
"Bakery","Ellie All Purpose Flour | 1kg","1",94.5
"Bakery","Suncrest Crossini Bavarian Cream | 41g 10pcs","41",117.5
"Bakery","Wang Leek Dumpling | 675g 12pcs","675",244
"Bakery","Village Gourmet Buns Health Whole Wheat Pandesal | 8pcs","8",212
"Bakery","Marby Beef Shanghai | 1kg-1.2kg","1",462
"Bakery","Tokyo Mochi Parfait Strawberry | 90g","90",135
"Bakery","Tokyo Mochi Parfait Matcha | 90g","90",135
"Bakery","Uncle George Cakes Rolls Mamon Small | 80g","80",48
"Bakery","Marby Kababayan | 80g","80",40
"Bakery","Walter Crunchy Salad Croutons | 75g","75",37
"Bakery","Danish Bun Chocolate | 75g","75",100
"Bakery","Danish Bun Sweet Potato | 75g","75",100
"Bakery","Danish Bun Red Sweet Beans | 75g","75",100
