Category,Name,Net weight,Price
"Snacks","SM Bonus Mixed Biscuits | 2.5kg","2.5",342.5
"Snacks","Scotts Chewy Vit C Mixed Berries | 30pcs","30",176.75
"Snacks","Konu Mini Krunch Rainbow Jar | 160g","160",100
"Snacks","Konu Mini Krunch Chocolate Jar | 160g","160",100
"Snacks","Moniegold Sweet Tamarind | 190g","190",59.5
"Snacks","Moniegold Sweet Spicy Tamarind | 190g","190",59.5
"Snacks","Ram Raisins | 225g","225",119.5
"Snacks","Growers Mix Nuts | 80g","80",78.5
"Snacks","Growers Glazes Pili Nuts Family Size | 80g","80",124.5
"Snacks","Nagaraya Cracker Nuts Adobo | 80g","80",23.5
"Snacks","Tobi Mexican Peanuts Super Hot | 120g","120",74.5
"Snacks","Tobi Garlic Peanuts | 120g","120",69.5
"Snacks","Boy Bawang Lechon Manok Flavor | 90g","90",21.5
"Snacks","Hello Kitty Surprise Egg | 10g","10",54.5
"Snacks","Push Pop Jumbo Candy | 30g","30",54.5
"Snacks","Porky Best Chicharon Regular | 60g","60",51.5
"Snacks","Porky Best Chicharon Hot | 60g","60",51.5
"Snacks","Lauras Butter Cookies Tins | 250g","250",184.5
"Snacks","Lauras Broas Tubs Lady Finger Biscuits | 350g","350",319.5
"Snacks","Nissin Butter Coconut | 90g","90",26.5
"Snacks","Lotte Pepero Choco Cookie | 32g","32",59.5
"Snacks","Fibisco Soda Crackers Plain | 25g 10pcs","25",69.5
"Snacks","Fibisco Chocolate Crunchies | 60g","60",28.5
"Snacks","Mondelez Oreo Choco Cookies | 220.80g","220.80",81.5
"Snacks","Oreo Small Crushed Cookie Pieces | 454g","454",199.5
"Snacks","Richoco Choco Big Rolls | 300g","300",144.5
"Snacks","Nissin Wafer Cheese Kingsize | 22g 10pcs","22",67.5
"Snacks","Goya Dark Almond | 90g","90",84.5
"Snacks","Goya Cookies & Cream | 30g","30",26.5
"Snacks","Goya Raisins Covered With Milk Choco | 33g","33",26.5
"Snacks","Goya Chocolate Coins Big Pack | 280g","280",209.5
"Snacks","Choco Mucho Cookies & Cream | 30g","30",9.5
"Snacks","Cadbury Dairy Milk Chocolate bar | 165g","165",154.5
"Snacks","Cadbury Dairy Milk Lickables | 20g","20",59.5
"Snacks","Regent King Crab Crackers | 85g","85",26.5
"Snacks","Oishi Fish Crackers | 90g","90",27.5
"Snacks","Lays Swiss Cheese | 50g","50",55.5
"Snacks","Jack & Jill Piattos Supersized Cheese Flavored Potato Chips Party Pack | 170g","170",71.5
"Snacks","Hersheys Kisses Cookies & Cream | 36g","36",59.5
"Snacks","Hershey S Cookies N Cream Chocolate | 40g","40",54.5
"Snacks","Hersheys Dark Chocolate | 40g","40",54.5
"Snacks","Cadbury Pop Out Heart | 150g","150",159.5
"Snacks","SM Bonus California Raisins Seedless | 100g","100",44.5
"Snacks","SM Bonus Dried Mango | 200g","200",239.5
"Snacks","SM Bonus Marshmallows Mini | 200g","200",54.5
"Snacks","SM Bonus Marshmallows | 80g","80",21
"Snacks","Sunmaid Raisins | 100g","100",59.5
"Snacks","Ram Raisins | 200g","200",104.5
"Snacks","Ram Raisins | 100g","100",52.5
"Snacks","Philippine Brand Dried Mango Sliced | 200g","200",275
"Snacks","Philippine Brand Dried Mango | 100g","100",139.5
"Snacks","Moniegold Tamarind Chewy Candy | 80g","80",46.5
"Snacks","Moniegold Chewey Tamarind Candy | 50g","50",22.5
"Snacks","Moniegold Tamarind Chewy Candy | 150g","150",82.5
"Snacks","Chivalry Cow Label | 10pcs","10",294.5
"Snacks","Chivalry Pusit Medium | 10pcs","10",226.5
"Snacks","Cebu Dried Mango | 100g","100",139.5
"Snacks","Cebu Dried Mango | 200g","200",275
"Snacks","7D Dried Mango | 200g","200",276.5
